window,count,probability
"(datetime.time(15, 55), datetime.time(17, 25))",12,0.5714285714285714
"(datetime.time(15, 0), datetime.time(16, 30))",11,0.5238095238095238
"(datetime.time(15, 40), datetime.time(17, 10))",11,0.5238095238095238
"(datetime.time(15, 10), datetime.time(16, 40))",11,0.5238095238095238
"(datetime.time(15, 35), datetime.time(17, 5))",11,0.5238095238095238
"(datetime.time(15, 30), datetime.time(17, 0))",11,0.5238095238095238
"(datetime.time(16, 0), datetime.time(17, 30))",11,0.5238095238095238
"(datetime.time(15, 50), datetime.time(17, 20))",11,0.5238095238095238
"(datetime.time(15, 45), datetime.time(17, 15))",11,0.5238095238095238
"(datetime.time(15, 5), datetime.time(16, 35))",11,0.5238095238095238
"(datetime.time(16, 10), datetime.time(17, 40))",11,0.5238095238095238
"(datetime.time(16, 5), datetime.time(17, 35))",11,0.5238095238095238
"(datetime.time(16, 15), datetime.time(17, 45))",11,0.5238095238095238
